"","year","social_capital","absence_exclusion","absence_capture","vdeminformal","btiinformal","informal_channels","vdeminstitutional","btiinstitutional","institutional_channels","vdemcso","bticso","intermediary_channels","civil_capacity","quality_interface","resilience","v2cagenmob","percept_civicspace","natgov_confidence"
"135",1923,NA,NA,-0.338168874892331,-0.26546476067064,NA,NA,-0.30602945918326,NA,NA,-0.202491566624536,NA,NA,NA,NA,NA,-0.961924657534247,NA,NA
"136",1924,NA,NA,-0.326139517857452,-0.267217765688814,NA,NA,-0.303182867751453,NA,NA,-0.193158001382583,NA,NA,NA,NA,NA,-0.944445205479453,NA,NA
"137",1925,NA,NA,-0.326840195630497,-0.27199635468187,NA,NA,-0.301862709406267,NA,NA,-0.194470800885896,NA,NA,NA,NA,NA,-0.967945205479453,NA,NA
"138",1926,NA,NA,-0.326585783403188,-0.270745779972253,NA,NA,-0.308659462136561,NA,NA,-0.200910350865899,NA,NA,NA,NA,NA,-0.979883561643836,NA,NA
"139",1927,NA,NA,-0.327819751260426,-0.279591487302453,NA,NA,-0.298531372332087,NA,NA,-0.207530471781303,NA,NA,NA,NA,NA,-1.00178767123288,NA,NA
"140",1928,NA,NA,-0.320514349277835,-0.279804195024324,NA,NA,-0.301790513246765,NA,NA,-0.216598060915708,NA,NA,NA,NA,NA,-1.00678082191781,NA,NA
"141",1929,NA,NA,-0.314534161027044,-0.289695104091302,NA,NA,-0.301965846776985,NA,NA,-0.215924580129622,NA,NA,NA,NA,NA,-0.99468493150685,NA,NA
"142",1930,NA,NA,-0.319628620365285,-0.309700632070674,NA,NA,-0.309835228162742,NA,NA,-0.216629782836792,NA,NA,NA,NA,NA,-0.900945205479453,NA,NA
"143",1931,NA,NA,-0.317946644438352,-0.31458190755015,NA,NA,-0.306802633817537,NA,NA,-0.221819977155651,NA,NA,NA,NA,NA,-0.898575342465753,NA,NA
"144",1932,NA,NA,-0.309390414801933,-0.31009304114378,NA,NA,-0.284393835271973,NA,NA,-0.228546430338365,NA,NA,NA,NA,NA,-0.874102739726027,NA,NA
"145",1933,NA,NA,-0.313782150222902,-0.329636479934261,NA,NA,-0.285699568810066,NA,NA,-0.243591314968515,NA,NA,NA,NA,NA,-0.865260273972603,NA,NA
"146",1934,NA,NA,-0.322954920568377,-0.350829860471443,NA,NA,-0.315596596288109,NA,NA,-0.26623554696847,NA,NA,NA,NA,NA,-0.906911564625851,NA,NA
"147",1935,NA,NA,-0.321332659152314,-0.349627916152654,NA,NA,-0.32849661950351,NA,NA,-0.274827307286618,NA,NA,NA,NA,NA,-0.955795918367347,NA,NA
"148",1936,NA,NA,-0.313037788186717,-0.353521487294427,NA,NA,-0.326710422501122,NA,NA,-0.273114323548095,NA,NA,NA,NA,NA,-0.89178231292517,NA,NA
"149",1937,NA,NA,-0.307222982432671,-0.361148370335469,NA,NA,-0.334592536017471,NA,NA,-0.275686239303656,NA,NA,NA,NA,NA,-0.906414965986395,NA,NA
"150",1938,NA,NA,-0.305141908059957,-0.364934959641218,NA,NA,-0.325235771487523,NA,NA,-0.271559949414991,NA,NA,NA,NA,NA,-0.895698630136987,NA,NA
"151",1939,NA,NA,-0.317484309268338,-0.402122137223406,NA,NA,-0.351035313098436,NA,NA,-0.281995685775435,NA,NA,NA,NA,NA,-0.945965753424658,NA,NA
"152",1940,NA,NA,-0.348169018926097,-0.478830518000772,NA,NA,-0.403075536786331,NA,NA,-0.360704812904654,NA,NA,NA,NA,NA,-1.02948251748252,NA,NA
"153",1941,NA,NA,-0.34961430306686,-0.49792657737544,NA,NA,-0.434207266863877,NA,NA,-0.373004605937026,NA,NA,NA,NA,NA,-0.965,NA,NA
"154",1942,NA,NA,-0.346591516376145,-0.486234094869399,NA,NA,-0.45974760658737,NA,NA,-0.379044435987101,NA,NA,NA,NA,NA,-0.955517482517483,NA,NA
"155",1943,NA,NA,-0.341147414865751,-0.487645904924771,NA,NA,-0.464383336722926,NA,NA,-0.371701569680519,NA,NA,NA,NA,NA,-0.960657342657343,NA,NA
"156",1944,NA,NA,-0.307497684807204,-0.472639645404821,NA,NA,-0.471382510388949,NA,NA,-0.369454895127141,NA,NA,NA,NA,NA,-0.899361111111111,NA,NA
"157",1945,NA,NA,-0.201297274618924,-0.382589063859505,NA,NA,-0.402190208521974,NA,NA,-0.253280278368834,NA,NA,NA,NA,NA,-0.855381944444445,NA,NA
"158",1946,NA,NA,-0.111588530790675,-0.260543144071499,NA,NA,-0.259909477540275,NA,NA,-0.104332620505694,NA,NA,NA,NA,NA,-0.778462068965517,NA,NA
"159",1947,NA,NA,-0.0912569497724136,-0.260417854582966,NA,NA,-0.190625187435873,NA,NA,-0.102731005111653,NA,NA,NA,NA,NA,-0.729578231292517,NA,NA
"160",1948,NA,NA,-0.0766216124166044,-0.273140453284736,NA,NA,-0.170080606469686,NA,NA,-0.110605897241975,NA,NA,NA,NA,NA,-0.767686666666667,NA,NA
"161",1949,NA,NA,-0.0585979238668923,-0.278874419074914,NA,NA,-0.145126992937714,NA,NA,-0.119078180739811,NA,NA,NA,NA,NA,-0.819131578947368,NA,NA
"162",1950,NA,NA,-0.0132423219479143,-0.226298949532237,NA,NA,-0.131079544606546,NA,NA,-0.0807638030330359,NA,NA,NA,NA,NA,-0.823543046357616,NA,NA
"163",1951,NA,NA,-0.00724885215469647,-0.224682928749683,NA,NA,-0.11663795923587,NA,NA,-0.0767667691243223,NA,NA,NA,NA,NA,-0.814328947368421,NA,NA
"164",1952,NA,NA,0.0172655771165573,-0.217287137235962,NA,NA,-0.0916147039014284,NA,NA,-0.0679007737369231,NA,NA,NA,NA,NA,-0.785322368421052,NA,NA
"165",1953,NA,NA,0.0326042730002301,-0.219781555092766,NA,NA,-0.0852383750884303,NA,NA,-0.0690253690220504,NA,NA,NA,NA,NA,-0.706421052631579,NA,NA
"166",1954,NA,NA,0.0318910875261306,-0.218644548355794,NA,NA,-0.0908116075747736,NA,NA,-0.0719616801787782,NA,NA,NA,NA,NA,-0.743526315789474,NA,NA
"167",1955,NA,NA,0.047379736832902,-0.223447964509218,NA,NA,-0.0871374418803279,NA,NA,-0.0550547096237245,NA,NA,NA,NA,NA,-0.684460526315789,NA,NA
"168",1956,NA,NA,0.0590014875087702,-0.224252615430767,NA,NA,-0.0780917717235701,NA,NA,-0.051314776466208,NA,NA,NA,NA,NA,-0.568480263157895,NA,NA
